subject_label,image_outlier_percentage,contrast_name
061,2.6885120702616914,Q01_v_baseline
130,6.041694013197933,Q01_v_baseline
172,0.3440690842989145,Q01_v_baseline
192,0.22831867559257446,Q01_v_baseline
234,1.1093741920343034,Q01_v_baseline
251,1.0286273433491246,Q01_v_baseline
358,0.02744597319841052,Q01_v_baseline
373,3.6670206799441534,Q01_v_baseline
445,3.855164815057895,Q01_v_baseline
465,0.9335608564734709,Q01_v_baseline
483,8.7234440320919,Q01_v_baseline
491,0.7676917141004682,Q01_v_baseline
495,2.4132568028225596,Q01_v_baseline
497,1.9029208084231295,Q01_v_baseline
512,2.228692577256437,Q01_v_baseline
518,0.26849321607140725,Q01_v_baseline
519,0.7422345795396237,Q01_v_baseline
524,0.39816549524070916,Q01_v_baseline
525,0.15035620099998806,Q01_v_baseline
526,0.37469719931743056,Q01_v_baseline
541,0.5174958134946679,Q01_v_baseline
546,3.7966929591134555,Q01_v_baseline
548,0.7641118045528494,Q01_v_baseline
549,2.725902236647932,Q01_v_baseline
553,1.7955235219945664,Q01_v_baseline
554,1.1885299698094294,Q01_v_baseline
555,0.5151092071295887,Q01_v_baseline
556,1.2835964566850833,Q01_v_baseline
557,8.687644936615712,Q01_v_baseline
558,4.186505332076387,Q01_v_baseline
561,3.9581866564838126,Q01_v_baseline
567,2.0353774616850235,Q01_v_baseline
568,0.5274400066824978,Q01_v_baseline
570,1.60181063869564,Q01_v_baseline
572,0.17143789055818745,Q01_v_baseline
573,2.231079183621516,Q01_v_baseline
574,2.149536799481311,Q01_v_baseline
577,0.02824150865343691,Q01_v_baseline
579,3.9005103359943996,Q01_v_baseline
581,0.1165459441613664,Q01_v_baseline
582,0.6268819385607968,Q01_v_baseline
583,0.21041912785448066,Q01_v_baseline
584,1.2995071657856112,Q01_v_baseline
585,1.6324387537141563,Q01_v_baseline
586,3.272435094251063,Q01_v_baseline
587,0.19928163148411115,Q01_v_baseline
588,1.1479576616030835,Q01_v_baseline
589,0.8114461641269197,Q01_v_baseline
590,1.5051530809099334,Q01_v_baseline
591,0.1185347827989324,Q01_v_baseline
592,0.8766800714390839,Q01_v_baseline
593,1.484071391351734,Q01_v_baseline
594,1.0250474338015059,Q01_v_baseline
595,3.9108522969097423,Q01_v_baseline
596,0.13524102735448662,Q01_v_baseline
597,0.048527662756609906,Q01_v_baseline
598,2.870291921735222,Q01_v_baseline
601,1.1547197129708078,Q01_v_baseline
604,0.31145213064283245,Q01_v_baseline
605,0.9729398614972773,Q01_v_baseline
606,1.8631440356718099,Q01_v_baseline
607,0.34844452930155967,Q01_v_baseline
608,0.6153466744629141,Q01_v_baseline
609,2.8066490853331105,Q01_v_baseline
610,0.24780929424072107,Q01_v_baseline
611,0.156322716912686,Q01_v_baseline
612,0.4200427202539349,Q01_v_baseline
613,0.7668961786454418,Q01_v_baseline
614,0.8194015186771837,Q01_v_baseline
616,0.030230347291002893,Q01_v_baseline
617,2.1535144767564427,Q01_v_baseline
619,0.235478494687812,Q01_v_baseline
621,0.6404060412962455,Q01_v_baseline
622,0.26292446788622253,Q01_v_baseline
624,3.057242753666424,Q01_v_baseline
626,0.24263831378304954,Q01_v_baseline
627,0.3989610306957355,Q01_v_baseline
628,1.392584814023699,Q01_v_baseline
629,1.1344335588676349,Q01_v_baseline
631,0.2255343014999821,Q01_v_baseline
633,0.2641177710687621,Q01_v_baseline
634,0.6280752417433364,Q01_v_baseline
635,0.18933743829628127,Q01_v_baseline
636,10.842352716554695,Q01_v_baseline
637,0.5640346376137119,Q01_v_baseline
638,4.4872177340763635,Q01_v_baseline
641,0.49442528529890256,Q01_v_baseline
642,2.417632247825205,Q01_v_baseline
643,0.253775810153419,Q01_v_baseline
645,0.4876632339311782,Q01_v_baseline
646,5.023408630764152,Q01_v_baseline
647,1.7971145929046193,Q01_v_baseline
648,0.07000712004232248,Q01_v_baseline
061,8.497114195136891,Q02_v_baseline
130,0.716777444978779,Q02_v_baseline
172,1.1221027593147257,Q02_v_baseline
192,0.4988007303015477,Q02_v_baseline
234,0.8846354259893477,Q02_v_baseline
251,1.2143848720977872,Q02_v_baseline
358,1.3086558235184147,Q02_v_baseline
373,0.998794763785635,Q02_v_baseline
445,7.476442206338031,Q02_v_baseline
465,1.1260804365898578,Q02_v_baseline
483,4.66979312100492,Q02_v_baseline
491,9.941806581464819,Q02_v_baseline
495,8.879368981277073,Q02_v_baseline
